epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,118.416,0.71804,1.08476,1.24597,0.77094,0.73129,0.73523,0.50034,1.11107,1.29283,1.74006,0.000990365,0.000990365,0.000990365
43,121.091,0.69076,1.05646,1.21189,0.6682,0.67468,0.65301,0.43455,1.22371,1.35574,1.89088,0.000973861,0.000973861,0.000973861
44,123.591,0.689,0.9937,1.19678,0.66941,0.80848,0.74527,0.53909,1.01897,1.20241,1.70596,0.000957358,0.000957358,0.000957358
45,126.22,0.67984,0.99359,1.192,0.87306,0.67398,0.77452,0.5557,0.92581,1.25082,1.58464,0.000940855,0.000940855,0.000940855
46,128.796,0.69314,1.0168,1.2083,0.69512,0.65104,0.70103,0.50131,1.06569,1.44882,1.62963,0.000924352,0.000924352,0.000924352
47,131.348,0.71114,1.03878,1.21775,0.8619,0.58677,0.68871,0.47988,1.11893,1.45729,1.81198,0.000907848,0.000907848,0.000907848
48,133.918,0.63649,0.93421,1.17114,0.70767,0.50569,0.62051,0.43215,1.05979,1.61849,1.69524,0.000891345,0.000891345,0.000891345
49,136.51,0.6272,0.91786,1.14498,0.7577,0.57938,0.64694,0.4648,1.01274,1.48418,1.7182,0.000874842,0.000874842,0.000874842
50,139.114,0.62281,0.89755,1.17337,0.70645,0.62701,0.67666,0.48217,1.02129,1.31427,1.72669,0.000858338,0.000858338,0.000858338
51,141.685,0.628,0.93884,1.17862,0.79022,0.5519,0.67792,0.50612,1.00765,1.52099,1.65449,0.000841835,0.000841835,0.000841835
52,144.325,0.63082,0.96515,1.18456,0.7026,0.65286,0.68716,0.49528,1.06906,1.47208,1.7359,0.000825332,0.000825332,0.000825332
53,146.876,0.63544,0.88227,1.1727,0.69999,0.65863,0.69078,0.48693,1.1593,1.53576,1.77983,0.000808828,0.000808828,0.000808828
54,149.445,0.62737,0.90271,1.17037,0.86034,0.62378,0.72326,0.52134,1.11809,1.3228,1.77186,0.000792325,0.000792325,0.000792325
55,152.006,0.63686,0.92717,1.16812,0.64578,0.66155,0.70328,0.47767,1.20261,1.47324,1.82349,0.000775822,0.000775822,0.000775822
56,154.54,0.62696,0.8829,1.14572,0.88685,0.73661,0.82451,0.58521,1.04326,1.10438,1.71309,0.000759318,0.000759318,0.000759318
57,157.203,0.60306,0.8866,1.13076,0.89936,0.71975,0.82368,0.61137,0.99425,1.04882,1.62377,0.000742815,0.000742815,0.000742815
58,159.88,0.5995,0.87754,1.15615,0.82755,0.62135,0.74771,0.5615,0.97973,1.28671,1.67366,0.000726312,0.000726312,0.000726312
59,162.738,0.59003,0.86036,1.1388,0.78598,0.6161,0.70592,0.53443,0.97313,1.2366,1.62516,0.000709809,0.000709809,0.000709809
60,165.469,0.60348,0.84514,1.13463,0.84493,0.71564,0.72318,0.51964,1.00039,1.27958,1.63348,0.000693305,0.000693305,0.000693305
61,168.171,0.609,0.85745,1.15745,0.85397,0.68216,0.74191,0.54014,0.89523,1.21078,1.56043,0.000676802,0.000676802,0.000676802
62,170.736,0.58334,0.81828,1.11653,0.81536,0.69248,0.72929,0.55578,0.92206,1.18646,1.50857,0.000660299,0.000660299,0.000660299
63,173.329,0.56095,0.78121,1.11958,0.86223,0.67251,0.76984,0.54774,0.9896,1.1977,1.63531,0.000643795,0.000643795,0.000643795
64,175.99,0.57212,0.79904,1.10879,0.85175,0.71418,0.76122,0.59055,0.88137,1.07785,1.55535,0.000627292,0.000627292,0.000627292
65,178.577,0.57136,0.76868,1.11642,0.85898,0.71564,0.751,0.60862,0.85775,1.04139,1.57346,0.000610789,0.000610789,0.000610789
66,181.307,0.55147,0.76669,1.12423,0.89191,0.69688,0.79729,0.64175,0.89253,1.11775,1.66902,0.000594286,0.000594286,0.000594286
67,183.924,0.55786,0.79482,1.11057,0.67408,0.71742,0.76993,0.59748,0.9466,1.19445,1.67657,0.000577782,0.000577782,0.000577782
68,186.801,0.53525,0.82352,1.10821,0.92679,0.72582,0.82604,0.64369,0.9679,1.03032,1.63982,0.000561279,0.000561279,0.000561279
69,189.591,0.5183,0.73416,1.09099,0.8498,0.74196,0.81661,0.6466,0.9086,0.98021,1.52165,0.000544776,0.000544776,0.000544776
70,192.402,0.50809,0.72786,1.089,0.89835,0.67398,0.80138,0.64148,0.83447,1.03223,1.42711,0.000528272,0.000528272,0.000528272
71,195.09,0.51597,0.72361,1.07262,0.9228,0.62357,0.79645,0.61533,0.78281,1.01544,1.35899,0.000511769,0.000511769,0.000511769
72,197.776,0.49216,0.74063,1.07152,0.86164,0.71667,0.78218,0.6135,0.82513,1.04566,1.41934,0.000495266,0.000495266,0.000495266
73,200.469,0.49887,0.71039,1.0651,0.92175,0.72807,0.79886,0.63198,0.79823,1.05224,1.4059,0.000478762,0.000478762,0.000478762
74,203.965,0.52551,0.73708,1.11065,0.82158,0.71418,0.80593,0.63153,0.83865,1.07464,1.43831,0.000462259,0.000462259,0.000462259
75,206.764,0.51613,0.66912,1.0813,0.81095,0.6462,0.7643,0.62594,0.76991,1.12392,1.37156,0.000445756,0.000445756,0.000445756
76,209.437,0.49674,0.68186,1.07895,0.77958,0.70029,0.78421,0.62168,0.74269,1.07027,1.34893,0.000429253,0.000429253,0.000429253
77,212.145,0.49957,0.6587,1.06361,0.8459,0.70077,0.80686,0.64992,0.75112,0.9342,1.33853,0.000412749,0.000412749,0.000412749
78,214.958,0.53375,0.70914,1.11101,0.83756,0.76585,0.82347,0.63671,0.73132,0.96275,1.33374,0.000396246,0.000396246,0.000396246
79,218.122,0.50907,0.68472,1.07958,0.8944,0.75585,0.82769,0.64879,0.71656,1.07113,1.35541,0.000379743,0.000379743,0.000379743
80,220.943,0.49904,0.70152,1.09757,0.88514,0.74196,0.85393,0.65516,0.71671,0.95635,1.35543,0.000363239,0.000363239,0.000363239
81,223.786,0.47833,0.66117,1.06745,0.77846,0.76085,0.82881,0.67271,0.73507,0.99265,1.36783,0.000346736,0.000346736,0.000346736
82,226.611,0.47962,0.64796,1.06209,0.87105,0.75523,0.84238,0.67567,0.71272,0.91048,1.37343,0.000330233,0.000330233,0.000330233
83,229.428,0.49826,0.67659,1.08166,0.80851,0.76414,0.82825,0.66095,0.75144,0.98746,1.38773,0.000313729,0.000313729,0.000313729
84,232.158,0.47975,0.64593,1.07212,0.80068,0.74209,0.80394,0.66008,0.73441,0.99609,1.37435,0.000297226,0.000297226,0.000297226
85,234.887,0.46551,0.63466,1.052,0.87855,0.67398,0.79057,0.66297,0.74708,1.01754,1.37656,0.000280723,0.000280723,0.000280723
86,237.637,0.47941,0.64526,1.07378,0.80817,0.72556,0.79489,0.66149,0.75003,1.0615,1.37966,0.00026422,0.00026422,0.00026422
87,240.469,0.47942,0.61698,1.06174,0.91598,0.71418,0.82302,0.68488,0.72161,0.96898,1.37014,0.000247716,0.000247716,0.000247716
88,243.258,0.45223,0.62105,1.03649,0.84805,0.76234,0.83296,0.68351,0.73297,0.93598,1.37463,0.000231213,0.000231213,0.000231213
89,245.996,0.48457,0.62692,1.07292,0.89617,0.74196,0.83504,0.69476,0.76157,0.95024,1.40633,0.00021471,0.00021471,0.00021471
90,248.699,0.4646,0.64459,1.03936,0.90395,0.75556,0.823,0.65883,0.81099,1.01611,1.44045,0.000198206,0.000198206,0.000198206
91,271.732,0.45311,0.71906,1.10169,0.80983,0.70175,0.77704,0.59536,0.95804,1.15404,1.54662,0.000181703,0.000181703,0.000181703
92,274.214,0.38241,0.58225,1.05045,0.87641,0.6462,0.72834,0.55032,1.00594,1.30934,1.59084,0.0001652,0.0001652,0.0001652
93,276.86,0.3903,0.51036,1.06837,0.90667,0.6573,0.75888,0.5945,0.89074,1.26051,1.48615,0.000148696,0.000148696,0.000148696
94,279.424,0.3899,0.5052,1.08513,0.88547,0.68156,0.78192,0.60805,0.83974,1.09807,1.45477,0.000132193,0.000132193,0.000132193
95,282.004,0.35583,0.45062,1.04156,0.79932,0.74049,0.79719,0.62088,0.80066,1.04809,1.45187,0.00011569,0.00011569,0.00011569
96,284.585,0.35201,0.43823,1.03306,0.84027,0.73912,0.80949,0.63032,0.75842,0.98499,1.40443,9.91865e-05,9.91865e-05,9.91865e-05
97,287.181,0.36563,0.45254,1.05802,0.85059,0.73963,0.8037,0.65695,0.74728,0.94968,1.39233,8.26832e-05,8.26832e-05,8.26832e-05
98,289.733,0.34189,0.443,1.01613,0.84804,0.75585,0.80951,0.65546,0.74809,0.93012,1.37903,6.61799e-05,6.61799e-05,6.61799e-05
99,292.263,0.34265,0.43358,1.0162,0.85128,0.7486,0.80114,0.64667,0.7426,0.94861,1.36831,4.96766e-05,4.96766e-05,4.96766e-05
100,294.748,0.32475,0.40799,1.01504,0.8197,0.75585,0.79942,0.64919,0.73452,0.96061,1.36266,3.31733e-05,3.31733e-05,3.31733e-05
