epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,161.884,0.69404,0.71791,0.96735,0.44358,0.46739,0.3916,0.17903,1.67216,2.07417,1.69196,0.0011882,0.0011882,0.0011882
43,166.032,0.70507,0.74504,0.95857,0.40362,0.38043,0.34647,0.14049,1.82617,2.30107,1.8127,0.0011684,0.0011684,0.0011684
44,170.3,0.69437,0.71947,0.96209,0.48212,0.3913,0.3392,0.14797,1.6918,2.28906,1.72948,0.0011486,0.0011486,0.0011486
45,174.371,0.69409,0.72112,0.97159,0.51113,0.47826,0.43699,0.19164,1.6039,1.91762,1.69531,0.0011288,0.0011288,0.0011288
46,178.368,0.66837,0.68924,0.96305,0.50671,0.52174,0.47251,0.21902,1.6966,1.90769,1.77002,0.001109,0.001109,0.001109
47,182.563,0.71542,0.70852,0.96611,0.48242,0.45591,0.44872,0.20061,1.6567,2.0625,1.75576,0.0010892,0.0010892,0.0010892
48,186.936,0.6631,0.64139,0.95194,0.59332,0.40217,0.43803,0.19252,1.60953,1.95487,1.78315,0.0010694,0.0010694,0.0010694
49,191.342,0.69655,0.66621,0.96196,0.57126,0.38043,0.4323,0.19447,1.62499,1.63256,1.82637,0.0010496,0.0010496,0.0010496
50,196.029,0.6999,0.68822,0.96485,0.61024,0.46739,0.4489,0.19448,1.61388,1.69859,1.77263,0.0010298,0.0010298,0.0010298
51,200.582,0.65446,0.65933,0.95335,0.54183,0.48913,0.45771,0.19218,1.75596,1.86375,1.88246,0.00101,0.00101,0.00101
52,204.999,0.6535,0.65284,0.95019,0.62176,0.38043,0.41749,0.1779,1.83186,1.95836,1.99344,0.0009902,0.0009902,0.0009902
53,209.926,0.6466,0.70012,0.96609,0.65676,0.37441,0.41677,0.19015,1.75467,1.93762,1.95149,0.0009704,0.0009704,0.0009704
54,214.937,0.64318,0.66583,0.95264,0.48523,0.46739,0.44962,0.20897,1.67199,1.93979,1.80694,0.0009506,0.0009506,0.0009506
55,219.956,0.66283,0.65287,0.94391,0.56445,0.5,0.48559,0.24224,1.57752,1.81118,1.68858,0.0009308,0.0009308,0.0009308
56,225.492,0.6499,0.62721,0.95669,0.7078,0.40217,0.47573,0.26236,1.47717,1.71864,1.60245,0.000911,0.000911,0.000911
57,231.429,0.62917,0.62948,0.95422,0.62359,0.36957,0.43381,0.22569,1.52362,1.92244,1.65754,0.0008912,0.0008912,0.0008912
